Kraj	2011	2012	2013	2014	2015	2016	2017	2018
Europe & Central Asia (IDA & IBRD countries)	4434427545701,15	4629810866328,25	4909028677073,55	4641837066255,72	3621705460711,79	3485578750338,62	3908497177205,46	4082389169975,06
Togo	3872459249,75	3873308389,30	4321655656,33	4574986536,91	4180866177,04	4486979198,31	4819949975,26	5364369025,64
Thailand	370819140946,55	397558222957,17	420333203150,43	407339361695,58	401295941041,30	413430123185,37	456294704152,65	506514103905,27
Tajikistan	6522732202,51	7633049792,09	8448469837,54	9112544556,06	7854602391,65	6952678127,03	7157865188,25	7522947810,12
Turkmenistan	29233333333,33	35164210526,32	39197543859,65	43524210526,32	35799714285,71	36180000000,00	37926285714,29	40761142857,14
Latin America & the Caribbean (IDA & IBRD countries)	5885562189741,39	5942645743012,90	6089029695834,13	6207880304227,69	5300255692640,23	5162837726209,45	5755251917064,24	5581213225245,97
Timor-Leste	1054725400,00	1147779600,00	1395524600,00	1447311400,00	1594410800,00	1650608600,00	1599338100,00	1559894900,00
Middle East & North Africa (IDA & IBRD countries)	1555699890932,67	1717407464451,58	1605603770808,54	1585265223315,07	1426043431411,44	1444324321117,94	1420124946945,30	1503870646199,25
Tonga	414523388,46	470714083,43	450643615,18	439878828,01	437006227,16	420540178,57	460379144,99	489235527,40
South Asia (IDA & IBRD)	2271837830662,84	2297332203012,90	2357132410757,71	2581822536186,75	2697257705966,27	2923010601938,01	3345716338949,23	3445471615274,75
Sub-Saharan Africa (IDA & IBRD countries)	1553945789839,36	1635107344173,13	1742079222307,12	1808737756281,44	1661914707751,22	1540370434904,87	1641784086541,64	1721156393779,70
Trinidad and Tobago	25433011405,30	25763220107,01	27268478564,55	27615843098,09	25062893969,33	22284780326,89	22474828527,18	23808146747,80
Tunisia	45810626509,45	45044112939,37	46251061734,47	47632326088,24	43173480831,97	41801210428,31	39802430354,63	39770297328,95
Turkey	838785707000,17	880555967207,49	957799371565,73	938934394763,92	864314287105,73	869683121562,53	858988610574,04	778381859840,94
Tuvalu	38711810,21	37671774,69	37509075,11	37290607,54	35492074,22	36547799,58	40619251,99	42588164,97
Tanzania	34657139495,40	39650530214,33	45680532613,76	49964788814,09	47378599025,30	49774021003,07	53320625958,56	58001200572,40
Uganda	27752712167,48	27188666946,71	28791625559,23	32472363451,88	32248116583,68	29078719934,00	30756466548,05	32916147253,27
Ukraine	163159671670,27	175781379051,43	183310146378,08	133503411375,74	91030959454,70	93355993628,50	112190355158,18	130901858421,72
Upper middle income	19402769722100,00	20788268583622,60	22031378746747,70	22730001475259,20	21352171851051,40	21338913049379,80	23580671477850,70	25273285727694,10
Uruguay	47962439302,67	51264390114,23	57531233351,21	57236013087,71	53274304222,18	52687612262,18	59530088537,33	59596885024,35
United States	15542581104000,00	16197007349000,00	16784849196000,00	17527163695000,00	18224704440000,00	18714960538000,00	19519353692000,00	20580159776000,00
Uzbekistan	56516280748,38	63628854498,50	68997168337,68	76658542757,47	81847410181,80	81779012350,88	59159945320,57	50392607758,23
St, Vincent and the Grenadines	676129629,63	692933333,33	721207407,41	727714814,81	755400000,00	774429629,63	792177777,78	811300000,00
Vietnam	135539438559,71	155820001920,49	171222025117,38	186204652922,26	193241108709,54	205276172134,90	223779865815,18	245213686369,16
Vanuatu	792149700,68	781702874,11	801787555,86	814954306,97	759689950,93	804332795,58	880043553,75	914700508,22
World	73460345663712,00	75161778950115,10	77316336530735,10	79453254441374,80	75217722628911,70	76368999871236,70	81306030232472,90	86439423191635,80
Samoa	737401692,22	760549587,14	770021663,97	756919917,33	788307330,56	799376439,53	832153612,56	821496064,53
Kosovo	6701698218,26	6499807272,26	7074777526,90	7396705194,63	6442915788,31	6719172016,83	7245707184,82	7942961738,31
Yemen, Rep,	32726417212,35	35401341663,04	40415235701,99	43206469767,44	42450620875,65	30935978723,73	26736139802,00	23486270352,33
South Africa	416418874936,30	396332702639,50	366829390478,95	350904575292,32	317620522794,83	296357282715,11	349554116683,82	368288939768,32
Zambia	23459515275,58	25503060420,03	28045553105,14	27150728123,78	21243339048,24	20954754378,14	25868165344,82	26312140828,64
Zimbabwe	14101920300,00	17114849900,00	19091020000,00	19495519600,00	19963120600,00	20548678100,00	22040902300,00	24311560500,00
