Numer stolika;Kwota zamowienia;Rodzaj zamowienia;Data;Godzina
5;189,41;3;22.03.2023;19:42:33
2;42,49;14;04.12.2023;17:37:18
1;129,97;11;16.06.2023;21:42:34
1;38,16;15;09.11.2023;15:09:06
6;159,79;28;19.10.2023;19:08:01
7;90,29;18;31.10.2023;11:05:15
9;93,56;25;09.06.2023;10:32:56
1;189,64;21;08.03.2023;10:51:44
5;192,47;2;25.04.2023;19:21:55
8;31,69;22;19.06.2023;17:13:58
6;135,81;25;24.11.2023;21:53:11
10;53,83;27;30.12.2023;19:40:56
8;103,62;28;12.07.2023;22:18:20
2;155,53;8;17.01.2023;21:51:03
10;66,43;27;16.03.2023;14:25:03
8;151,85;25;06.12.2023;15:11:44
1;106,29;30;28.04.2023;15:26:46
3;72,62;24;18.12.2023;20:02:48
10;59,32;27;04.08.2023;18:19:59
4;105,79;8;26.02.2023;16:51:05
2;138,06;30;28.02.2023;11:14:53
3;182,38;4;13.03.2023;11:24:17
6;122,78;30;03.05.2023;13:36:14
2;110,87;30;24.03.2023;10:47:57
1;4,93;23;11.09.2023;22:18:23
6;158,60;8;02.08.2023;21:58:04
9;90,38;30;26.10.2023;10:20:14
4;29,38;27;19.08.2023;14:48:46
3;27,46;31;08.06.2023;12:54:02
3;154,53;8;18.03.2023;17:39:23
6;55,97;21;10.02.2023;15:00:20
9;125,14;16;30.10.2023;17:26:47
3;141,78;9;21.10.2023;21:56:42
4;1,86;14;20.06.2023;13:59:57
2;144,42;14;06.10.2023;20:45:34
1;45,69;3;02.03.2023;21:47:00
8;136,24;4;10.07.2023;19:14:14
2;144,21;4;07.06.2023;17:26:35
3;138,71;2;29.05.2023;13:27:03
2;135,18;2;12.09.2023;20:54:17
8;91,81;18;14.04.2023;17:12:08
3;91,73;23;24.10.2023;13:36:07
10;77,75;8;16.04.2023;11:39:08
3;50,79;15;07.07.2023;20:37:56
5;26,54;25;03.07.2023;15:56:46
7;2,97;15;03.04.2023;15:29:15
8;143,95;10;30.05.2023;15:43:02
6;113,88;7;30.08.2023;12:10:15
7;153,30;24;15.09.2023;12:07:35
8;185,35;28;08.07.2023;15:27:41
5;126,01;25;06.03.2023;11:01:27
7;174,75;9;14.09.2023;16:52:43
5;16,11;15;12.04.2023;12:42:36
5;54,84;24;16.09.2023;20:59:49
5;167,91;24;23.11.2023;20:19:37
9;28,32;26;10.05.2023;17:52:55
2;148,15;1;02.08.2023;14:24:03
8;97,62;26;12.07.2023;20:55:22
2;57,51;13;07.01.2023;15:27:00
10;188,87;17;20.09.2023;20:05:05
5;98,82;16;12.11.2023;12:28:28
9;16,06;27;28.05.2023;22:12:45
3;150,99;29;25.01.2023;11:25:41
8;190,64;2;11.10.2023;18:43:38
10;111,12;29;12.09.2023;18:36:38
7;161,00;3;01.05.2023;18:48:04
3;13,21;5;20.04.2023;17:44:03
2;100,56;19;08.05.2023;20:01:44
8;140,17;8;31.07.2023;17:40:33
1;81,62;9;31.08.2023;11:04:05
9;18,82;4;16.07.2023;13:54:35
6;153,95;29;22.08.2023;17:31:35
8;150,54;7;22.08.2023;10:51:27
8;52,99;9;03.04.2023;11:19:36
1;182,00;13;23.07.2023;21:14:28
2;113,42;14;15.06.2023;17:52:46
4;39,54;14;04.09.2023;10:49:48
2;128,87;29;11.12.2023;19:21:06
6;131,43;10;01.02.2023;11:33:57
9;68,21;31;25.05.2023;18:14:41
2;129,28;29;30.08.2023;16:37:53
1;124,10;4;14.08.2023;18:21:53
3;112,74;17;14.04.2023;21:38:44
3;17,05;22;14.03.2023;17:38:41
1;24,42;15;05.09.2023;21:57:00
6;48,22;20;17.09.2023;22:05:25
7;55,85;7;26.10.2023;11:58:04
10;100,06;27;10.06.2023;16:42:19
9;133,53;14;13.02.2023;12:16:47
9;103,38;13;29.12.2023;22:00:55
4;125,06;29;07.08.2023;19:59:20
3;157,78;24;20.06.2023;10:34:29
5;74,49;27;12.02.2023;14:43:45
8;96,97;19;21.11.2023;21:31:28
2;88,32;1;03.07.2023;17:53:46
4;104,09;5;18.06.2023;11:11:57
2;67,65;31;05.10.2023;20:52:32
1;148,13;4;11.07.2023;18:51:36
4;145,83;5;22.07.2023;17:43:15
2;194,42;10;14.07.2023;10:45:33
7;104,65;3;09.07.2023;13:13:56
8;131,00;5;21.03.2023;15:10:45
6;73,05;21;09.05.2023;18:26:36
10;94,86;5;02.04.2023;13:14:11
3;170,94;9;17.09.2023;20:40:19
2;27,74;20;25.05.2023;20:35:22
6;136,27;18;20.08.2023;10:53:04
6;111,45;11;01.05.2023;10:30:58
2;58,75;26;07.09.2023;18:24:58
6;190,36;14;15.03.2023;11:32:08
7;80,63;28;27.03.2023;10:25:45
10;38,65;2;03.04.2023;21:53:27
9;66,23;23;01.12.2023;14:21:26
2;174,89;26;05.04.2023;16:39:09
10;113,21;10;16.01.2023;11:47:47
7;172,95;14;20.02.2023;14:23:21
2;97,42;25;25.03.2023;16:13:25
3;110,43;16;20.07.2023;15:15:32
7;108,78;31;18.10.2023;18:16:45
10;154,50;19;09.01.2023;12:28:03
1;30,76;11;25.11.2023;18:36:10
7;42,12;7;27.10.2023;18:12:39
5;103,32;18;24.03.2023;17:13:45
8;196,01;8;08.05.2023;17:38:54
6;159,37;24;27.02.2023;18:09:08
1;88,63;11;05.02.2023;10:14:31
1;107,72;6;04.02.2023;15:22:41
9;20,85;21;11.09.2023;15:30:34
1;69,78;5;18.04.2023;14:21:04
2;17,75;5;31.08.2023;15:05:46
4;93,01;3;09.11.2023;10:43:31
7;42,56;31;28.08.2023;17:46:36
6;130,48;12;24.02.2023;14:06:53
2;42,24;26;02.06.2023;17:52:12
8;117,32;29;13.04.2023;16:59:27
5;7,56;10;10.07.2023;20:01:07
1;116,75;14;27.10.2023;21:12:56
8;63,74;22;21.06.2023;22:30:18
5;190,16;26;26.07.2023;22:33:54
9;29,72;15;25.07.2023;13:13:45
6;92,20;12;29.08.2023;13:16:47
7;106,38;24;24.12.2023;12:54:25
5;154,93;3;01.06.2023;22:40:45
8;32,48;3;21.02.2023;11:57:41
9;196,25;13;18.02.2023;18:25:45
4;155,73;3;07.09.2023;15:04:10
2;124,01;29;08.12.2023;14:25:07
7;161,33;12;04.03.2023;13:05:54
4;62,25;22;05.08.2023;19:29:35
5;70,04;22;27.05.2023;11:09:00
3;48,18;20;05.03.2023;20:21:58
3;191,03;30;18.05.2023;12:01:55
2;52,32;20;28.02.2023;14:33:14
1;84,86;26;14.02.2023;17:21:49
2;94,36;13;23.02.2023;10:19:57
4;100,33;28;19.02.2023;17:10:46
4;104,37;24;17.08.2023;20:15:51
1;140,59;13;02.11.2023;20:23:29
1;61,14;18;12.02.2023;12:50:09
10;191,21;30;14.08.2023;21:59:41
10;109,21;20;22.07.2023;18:36:40
8;0,65;23;23.11.2023;21:48:41
9;85,51;9;19.12.2023;19:24:58
9;8,09;3;24.05.2023;19:35:55
5;79,00;31;06.09.2023;13:33:48
6;144,05;1;09.11.2023;21:56:57
10;69,32;16;25.12.2023;15:57:56
7;163,69;20;30.11.2023;11:27:35
5;51,51;3;01.10.2023;15:04:48
8;29,72;13;28.09.2023;11:01:56
2;77,75;8;19.03.2023;17:14:40
3;89,72;17;15.12.2023;20:54:44
3;1,23;13;26.05.2023;21:44:40
6;97,05;26;27.10.2023;18:41:20
4;122,20;31;24.11.2023;14:07:01
10;183,04;3;23.08.2023;20:53:32
6;31,32;28;28.04.2023;20:03:18
6;148,82;14;23.06.2023;13:06:50
5;99,80;19;21.06.2023;19:44:43
10;41,19;14;08.02.2023;16:13:59
3;45,14;17;24.11.2023;21:03:35
9;61,19;7;04.09.2023;21:19:28
8;61,77;21;21.03.2023;16:06:37
10;10,93;21;04.04.2023;18:15:38
1;135,14;21;12.03.2023;16:14:25
7;25,54;26;24.07.2023;22:21:09
8;72,17;14;27.08.2023;12:18:08
9;12,77;2;05.10.2023;10:09:37
1;184,73;2;04.12.2023;18:50:32
2;135,38;5;25.02.2023;20:54:14
9;61,25;19;10.07.2023;19:28:40
1;18,16;23;18.04.2023;10:31:00
8;124,70;9;11.10.2023;21:16:16
2;134,51;28;09.03.2023;13:56:33
8;78,09;7;24.09.2023;11:55:47
8;23,88;17;22.02.2023;11:12:54
4;8,03;30;26.12.2023;11:16:20
9;140,79;24;04.11.2023;13:50:51
10;79,41;9;22.02.2023;19:52:41
2;39,98;20;03.10.2023;12:27:29
6;36,81;29;09.07.2023;15:43:43
2;101,03;13;02.07.2023;19:58:14
6;17,90;19;17.11.2023;17:34:03
7;6,01;25;12.04.2023;18:28:22
8;32,20;22;21.12.2023;12:08:19
9;169,68;21;09.07.2023;14:55:07
6;73,10;21;05.12.2023;22:43:20
5;44,49;25;27.09.2023;22:01:25
5;91,90;18;06.09.2023;18:05:01
2;15,17;17;06.01.2023;18:04:04
10;114,59;25;27.12.2023;17:27:28
9;127,66;9;03.04.2023;15:19:09
1;173,34;15;11.09.2023;22:27:17
6;160,28;30;06.03.2023;12:05:02
10;116,08;27;28.05.2023;20:55:56
5;170,94;5;11.06.2023;21:15:18
8;8,98;23;19.06.2023;12:39:08
1;67,90;9;16.07.2023;19:15:28
8;35,27;5;06.01.2023;14:48:37
4;107,85;23;01.01.2023;11:08:39
2;199,93;8;06.07.2023;19:25:49
5;101,05;20;28.11.2023;16:43:36
4;78,95;26;30.09.2023;15:48:27
2;96,59;13;05.06.2023;16:57:16
8;40,04;20;20.09.2023;18:38:53
1;174,43;13;13.02.2023;12:03:35
1;91,91;18;30.07.2023;17:34:21
5;18,41;29;15.10.2023;15:58:34
7;165,75;4;07.09.2023;21:41:15
10;67,06;24;25.01.2023;21:02:27
7;32,62;2;06.02.2023;22:33:41
5;130,71;15;30.12.2023;16:16:05
3;170,53;13;06.10.2023;20:23:51
5;195,53;6;22.08.2023;17:04:41
3;7,24;16;15.01.2023;10:20:06
2;157,32;3;08.01.2023;22:37:07
6;109,55;27;08.12.2023;11:41:15
6;94,27;31;05.07.2023;20:35:20
3;122,59;31;15.08.2023;16:43:15
4;151,01;29;02.02.2023;10:13:05
3;139,77;1;13.04.2023;13:22:39
4;47,76;24;02.03.2023;10:28:22
2;82,34;23;31.08.2023;22:19:38
1;3,48;18;04.03.2023;18:04:20
5;60,14;24;10.03.2023;19:10:46
10;197,50;23;21.11.2023;19:14:37
1;8,31;26;20.12.2023;19:40:40
6;77,57;26;09.07.2023;11:23:24
6;76,85;12;05.07.2023;19:19:53
2;59,03;29;27.08.2023;22:51:20
5;102,34;4;26.04.2023;16:43:14
10;186,60;25;20.04.2023;16:39:37
2;58,80;24;02.12.2023;16:34:55
8;131,99;3;19.05.2023;22:59:02
6;40,92;14;29.07.2023;13:22:05
4;39,55;20;29.05.2023;15:30:39
1;72,65;23;17.02.2023;10:43:04
2;68,62;17;28.03.2023;18:10:08
5;180,32;5;21.09.2023;15:50:02
3;75,34;29;29.06.2023;16:58:57
2;146,84;20;05.05.2023;15:34:44
2;46,08;2;04.03.2023;12:35:49
7;87,72;18;09.07.2023;14:00:17
2;46,89;4;30.11.2023;21:52:38
8;58,78;6;26.04.2023;18:24:02
5;30,24;22;21.12.2023;19:49:42
7;91,54;24;13.03.2023;18:02:07
10;183,85;13;19.04.2023;15:17:49
6;78,90;20;09.07.2023;21:52:22
9;176,51;11;21.07.2023;18:45:41
8;38,05;20;15.05.2023;17:48:50
3;183,66;10;01.03.2023;10:29:44
8;190,78;21;08.01.2023;21:38:17
5;150,09;17;13.07.2023;22:25:11
10;183,98;26;19.05.2023;16:13:20
6;192,67;8;19.07.2023;17:03:21
8;150,77;13;01.10.2023;16:16:08
3;19,73;30;28.10.2023;10:49:21
3;87,08;24;03.05.2023;12:25:35
4;127,81;6;13.02.2023;18:53:17
4;107,57;27;03.01.2023;18:53:29
4;51,80;11;26.01.2023;19:51:02
5;71,72;5;21.04.2023;10:31:51
1;99,80;15;07.08.2023;11:37:02
3;28,85;1;21.05.2023;21:54:44
8;40,41;19;22.02.2023;12:03:55
4;105,86;3;09.10.2023;16:29:21
9;124,81;29;11.12.2023;22:08:13
4;30,32;21;08.10.2023;14:52:40
1;141,63;21;04.11.2023;17:05:46
6;25,59;21;25.11.2023;10:30:11
8;41,77;19;24.01.2023;21:17:57
7;197,76;13;26.08.2023;14:07:56
3;114,70;27;03.10.2023;15:41:21
3;62,82;7;15.01.2023;22:22:14
2;38,17;27;26.06.2023;10:43:57
5;124,90;28;03.07.2023;22:29:57
3;196,22;11;25.11.2023;10:43:29
5;132,73;11;26.10.2023;20:50:03
1;147,86;7;28.09.2023;19:01:58
2;187,40;14;19.03.2023;12:39:53
10;45,85;25;04.04.2023;17:19:29
2;5,35;5;20.05.2023;14:06:38
9;76,92;29;10.04.2023;15:15:47
3;127,86;8;18.03.2023;15:24:36
6;177,36;18;08.03.2023;10:50:22
4;161,21;14;24.12.2023;21:33:38
2;65,04;25;15.03.2023;10:27:42
3;50,08;25;31.12.2023;16:47:24
10;49,05;21;29.08.2023;21:37:38
3;30,90;3;14.05.2023;12:56:17
2;122,83;3;11.08.2023;13:37:10
5;193,08;3;29.07.2023;10:05:50
2;86,37;4;20.08.2023;15:03:55
10;163,72;21;23.11.2023;23:01:08
8;31,09;3;09.05.2023;12:38:07
5;18,95;15;30.12.2023;13:26:25
8;137,67;7;24.04.2023;14:34:17
1;175,95;28;11.12.2023;22:15:56
8;52,65;30;08.07.2023;19:50:45
5;45,50;16;22.04.2023;21:11:21
9;103,75;19;30.04.2023;14:49:46
3;53,77;6;24.02.2023;22:18:17
5;28,42;2;18.04.2023;10:41:22
3;37,75;29;06.05.2023;13:33:48
10;154,84;19;13.01.2023;19:18:02
8;118,14;21;26.01.2023;13:49:14
4;145,87;7;19.08.2023;21:46:27
2;136,77;6;23.08.2023;13:58:54
1;121,43;25;19.03.2023;15:12:14
10;143,25;12;25.04.2023;19:59:35
9;181,48;9;22.03.2023;18:23:26
10;186,99;2;28.03.2023;22:09:55
7;198,86;7;13.03.2023;11:44:59
2;63,01;16;06.07.2023;11:25:45
9;12,05;7;29.08.2023;22:00:47
9;22,51;25;26.05.2023;21:08:25
